10000	0	0	0
20000	0	0	0
30000	0	0	0
40000	0	0	0
50000	0	0	0
60000	0	0	0
70000	0	0	0
80000	0	0	0
90000	0	0	0
100000	0	0	0
110000	0	0	0
120000	0	0	0
130000	0	0	0
140000	0	0	0
150000	0	0	0
160000	0	0	0
170000	0	0	0
180000	0	0	0
190000	0	0	0
200000	0	0	0
210000	0	0	0
220000	0	0	0
230000	0	0	0
240000	0	0	2
250000	0	0	2
260000	0	0	2
270000	0	0	2
280000	0	0	2
290000	0	0	2
300000	0	0	2
310000	0	0	2
320000	0	0	2
330000	0	0	2
340000	0	0	2
350000	0	0	2
360000	0	0	2
370000	0	0	2
380000	0	0	3
390000	0	0	3
400000	0	0	3
410000	0	0	3
420000	0	0	3
430000	0	0	3
440000	0	0	3
450000	0	0	3
460000	0	0	3
470000	0	0	3
480000	0	0	3
490000	0	0	3
500000	0	0	3
510000	0	0	3
520000	0	0	3
530000	0	0	3
540000	0	0	3
550000	0	0	3
560000	0	0	3
570000	0	0	3
580000	0	0	3
590000	0	0	3
600000	0	0	3
